Site,Individual,Date,Time,Parameter_A,Parameter_B
Site_1,Site_1_Candidate_1,2025-07-15,09:00,83.87,31.32
Site_1,Site_1_Candidate_1,2025-07-15,09:15,90.82,40.08
Site_1,Site_1_Candidate_1,2025-07-15,09:30,75.12,34.59
Site_1,Site_1_Candidate_1,2025-07-15,09:45,70.79,5.69
Site_1,Site_1_Candidate_1,2025-07-15,10:00,86.4,43.07
Site_1,Site_1_Candidate_1,2025-07-15,10:15,51.46,2.15
Site_1,Site_1_Candidate_1,2025-07-15,10:30,55.22,24.96
Site_1,Site_1_Candidate_1,2025-07-15,10:45,52.41,27.44
Site_1,Site_1_Candidate_1,2025-07-15,11:00,50.43,46.93
Site_1,Site_1_Candidate_1,2025-07-15,11:15,95.88,21.1
Site_1,Site_1_Candidate_1,2025-07-15,11:30,71.8,33.43
Site_1,Site_1_Candidate_1,2025-07-15,11:45,79.39,9.08
Site_1,Site_1_Candidate_1,2025-07-15,12:00,96.85,4.55
Site_1,Site_1_Candidate_1,2025-07-15,12:15,87.5,42.79
Site_1,Site_1_Candidate_1,2025-07-15,12:30,81.28,2.81
Site_1,Site_1_Candidate_1,2025-07-15,12:45,98.26,36.1
Site_1,Site_1_Candidate_1,2025-07-15,13:00,80.43,47.37
Site_1,Site_1_Candidate_1,2025-07-15,13:15,62.59,49.79
Site_1,Site_1_Candidate_1,2025-07-15,13:30,53.67,40.27
Site_1,Site_1_Candidate_1,2025-07-15,13:45,55.37,17.43
Site_1,Site_1_Candidate_1,2025-07-15,14:00,81.44,29.74
Site_1,Site_1_Candidate_1,2025-07-15,14:15,75.95,16.71
Site_1,Site_1_Candidate_1,2025-07-15,14:30,50.24,7.57
Site_1,Site_1_Candidate_1,2025-07-15,14:45,81.77,36.74
Site_1,Site_1_Candidate_1,2025-07-15,15:00,86.78,4.8
Site_1,Site_1_Candidate_1,2025-07-15,15:15,74.58,14.66
Site_1,Site_1_Candidate_1,2025-07-15,15:30,78.2,15.2
Site_1,Site_1_Candidate_1,2025-07-15,15:45,83.12,46.97
Site_1,Site_1_Candidate_1,2025-07-15,16:00,79.15,45.33
Site_1,Site_1_Candidate_1,2025-07-15,16:15,83.28,16.94
Site_1,Site_1_Candidate_1,2025-07-15,16:30,63.29,41.63
Site_1,Site_1_Candidate_1,2025-07-15,16:45,70.97,31.97
Site_1,Site_1_Candidate_1,2025-07-15,17:00,63.35,29.47
Site_1,Site_1_Candidate_1,2025-07-15,17:15,64.4,44.2
Site_1,Site_1_Candidate_1,2025-07-15,17:30,54.38,29.07
Site_1,Site_1_Candidate_1,2025-07-14,09:00,87.61,34.52
Site_1,Site_1_Candidate_1,2025-07-14,09:15,97.76,40.64
Site_1,Site_1_Candidate_1,2025-07-14,09:30,67.08,40.56
Site_1,Site_1_Candidate_1,2025-07-14,09:45,97.48,20.72
Site_1,Site_1_Candidate_1,2025-07-14,10:00,65.22,34.22
Site_1,Site_1_Candidate_1,2025-07-14,10:15,80.15,17.66
Site_1,Site_1_Candidate_1,2025-07-14,10:30,75.42,33.46
Site_1,Site_1_Candidate_1,2025-07-14,10:45,65.72,29.9
Site_1,Site_1_Candidate_1,2025-07-14,11:00,88.6,28.28
Site_1,Site_1_Candidate_1,2025-07-14,11:15,93.63,16.85
Site_1,Site_1_Candidate_1,2025-07-14,11:30,98.68,8.39
Site_1,Site_1_Candidate_1,2025-07-14,11:45,50.35,20.13
Site_1,Site_1_Candidate_1,2025-07-14,12:00,75.71,48.46
Site_1,Site_1_Candidate_1,2025-07-14,12:15,97.81,31.93
Site_1,Site_1_Candidate_1,2025-07-14,12:30,50.29,40.47
Site_1,Site_1_Candidate_1,2025-07-14,12:45,91.8,29.92
Site_1,Site_1_Candidate_1,2025-07-14,13:00,73.27,15.13
Site_1,Site_1_Candidate_1,2025-07-14,13:15,66.59,20.56
Site_1,Site_1_Candidate_1,2025-07-14,13:30,90.48,30.4
Site_1,Site_1_Candidate_1,2025-07-14,13:45,55.05,48.15
Site_1,Site_1_Candidate_1,2025-07-14,14:00,87.63,24.1
Site_1,Site_1_Candidate_1,2025-07-14,14:15,64.39,23.78
Site_1,Site_1_Candidate_1,2025-07-14,14:30,71.18,15.26
Site_1,Site_1_Candidate_1,2025-07-14,14:45,76.1,7.47
Site_1,Site_1_Candidate_1,2025-07-14,15:00,60.66,47.52
Site_1,Site_1_Candidate_1,2025-07-14,15:15,70.37,48.94
Site_1,Site_1_Candidate_1,2025-07-14,15:30,69.7,6.53
Site_1,Site_1_Candidate_1,2025-07-14,15:45,53.1,43.47
Site_1,Site_1_Candidate_1,2025-07-14,16:00,71.43,13.05
Site_1,Site_1_Candidate_1,2025-07-14,16:15,65.41,45.35
Site_1,Site_1_Candidate_1,2025-07-14,16:30,71.54,14.58
Site_1,Site_1_Candidate_1,2025-07-14,16:45,69.88,48.52
Site_1,Site_1_Candidate_1,2025-07-14,17:00,66.42,19.62
Site_1,Site_1_Candidate_1,2025-07-14,17:15,85.68,16.67
Site_1,Site_1_Candidate_1,2025-07-14,17:30,75.95,33.85
Site_1,Site_1_Candidate_1,2025-07-13,09:00,67.4,17.29
Site_1,Site_1_Candidate_1,2025-07-13,09:15,78.76,27.32
Site_1,Site_1_Candidate_1,2025-07-13,09:30,75.83,26.25
Site_1,Site_1_Candidate_1,2025-07-13,09:45,72.5,49.17
Site_1,Site_1_Candidate_1,2025-07-13,10:00,74.44,35.35
Site_1,Site_1_Candidate_1,2025-07-13,10:15,85.4,12.97
Site_1,Site_1_Candidate_1,2025-07-13,10:30,62.05,41.15
Site_1,Site_1_Candidate_1,2025-07-13,10:45,92.48,22.49
Site_1,Site_1_Candidate_1,2025-07-13,11:00,64.3,2.2
Site_1,Site_1_Candidate_1,2025-07-13,11:15,73.86,2.37
Site_1,Site_1_Candidate_1,2025-07-13,11:30,57.58,36.28
Site_1,Site_1_Candidate_1,2025-07-13,11:45,83.37,45.04
Site_1,Site_1_Candidate_1,2025-07-13,12:00,62.76,30.96
Site_1,Site_1_Candidate_1,2025-07-13,12:15,54.77,15.38
Site_1,Site_1_Candidate_1,2025-07-13,12:30,86.85,0.68
Site_1,Site_1_Candidate_1,2025-07-13,12:45,57.69,0.1
Site_1,Site_1_Candidate_1,2025-07-13,13:00,66.64,24.54
Site_1,Site_1_Candidate_1,2025-07-13,13:15,67.83,9.6
Site_1,Site_1_Candidate_1,2025-07-13,13:30,63.65,35.87
Site_1,Site_1_Candidate_1,2025-07-13,13:45,53.72,37.75
Site_1,Site_1_Candidate_1,2025-07-13,14:00,55.23,41.92
Site_1,Site_1_Candidate_1,2025-07-13,14:15,72.41,17.45
Site_1,Site_1_Candidate_1,2025-07-13,14:30,64.41,25.23
Site_1,Site_1_Candidate_1,2025-07-13,14:45,68.13,24.23
Site_1,Site_1_Candidate_1,2025-07-13,15:00,93.76,29.23
Site_1,Site_1_Candidate_1,2025-07-13,15:15,62.43,19.31
Site_1,Site_1_Candidate_1,2025-07-13,15:30,95.26,2.06
Site_1,Site_1_Candidate_1,2025-07-13,15:45,99.1,37.9
Site_1,Site_1_Candidate_1,2025-07-13,16:00,94.54,30.19
Site_1,Site_1_Candidate_1,2025-07-13,16:15,83.86,29.97
Site_1,Site_1_Candidate_1,2025-07-13,16:30,64.18,24.98
Site_1,Site_1_Candidate_1,2025-07-13,16:45,51.55,20.92
Site_1,Site_1_Candidate_1,2025-07-13,17:00,91.43,19.32
Site_1,Site_1_Candidate_1,2025-07-13,17:15,69.49,15.96
Site_1,Site_1_Candidate_1,2025-07-13,17:30,98.25,29.99
Site_1,Site_1_Candidate_1,2025-07-12,09:00,63.75,38.28
Site_1,Site_1_Candidate_1,2025-07-12,09:15,87.18,35.49
Site_1,Site_1_Candidate_1,2025-07-12,09:30,66.89,2.29
Site_1,Site_1_Candidate_1,2025-07-12,09:45,66.38,41.78
Site_1,Site_1_Candidate_1,2025-07-12,10:00,85.17,5.11
Site_1,Site_1_Candidate_1,2025-07-12,10:15,72.32,42.5
Site_1,Site_1_Candidate_1,2025-07-12,10:30,99.68,1.72
Site_1,Site_1_Candidate_1,2025-07-12,10:45,68.91,24.09
Site_1,Site_1_Candidate_1,2025-07-12,11:00,69.49,24.27
Site_1,Site_1_Candidate_1,2025-07-12,11:15,80.42,2.4
Site_1,Site_1_Candidate_1,2025-07-12,11:30,99.74,10.21
Site_1,Site_1_Candidate_1,2025-07-12,11:45,69.56,48.55
Site_1,Site_1_Candidate_1,2025-07-12,12:00,88.6,20.82
Site_1,Site_1_Candidate_1,2025-07-12,12:15,58.87,18.87
Site_1,Site_1_Candidate_1,2025-07-12,12:30,78.47,37.88
Site_1,Site_1_Candidate_1,2025-07-12,12:45,95.3,3.8
Site_1,Site_1_Candidate_1,2025-07-12,13:00,98.54,6.08
